Identifier,PMCID,sciscore_hit,trialidentifier_hit,ctregistries_hit,nct_hit,paper_url,id_type_group,id_type,id_in_abstract,id_in_methods,id_in_other_location,other_location,paper_is_research_article,comments,tools_agree
NCT02153580,PMC8762141,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8762141/, , , , , , , , ,yes
NCT01363544,PMC8273841,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8273841/, , , , , , , , ,yes
IRCT20130329012869N2,PMC8506249,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8506249/, , , , , , , , ,no
jRCTs031200106,PMC8500489,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8500489/, , , , , , , , ,no
NCT03128528,PMC8712907,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8712907/, , , , , , , , ,yes
201603250060,PMC8153979,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8153979/, , , , , , , , ,no
NCT01417598,PMC8608774,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8608774/, , , , , , , , ,yes
NCT04669535,PMC8983315,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8983315/, , , , , , , , ,no
NL 147,PMC8390327,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8390327/, , , , , , , , ,no
CTRI/2017/03/008022,PMC8802728,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8802728/, , , , , , , , ,no
NCT03629873,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
IRCT20200127046275N1,PMC8647262,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8647262/, , , , , , , , ,no
NCT03769506,PMC8353912,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8353912/, , , , , , , , ,no
NCT04636463,PMC8991527,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8991527/, , , , , , , , ,yes
